concept_id,concept_code,concept_name,codeset
4144191,307592006,Basophilic leukemia,cancer_dx
4115292,254702000,Basosquamous carcinoma of skin,cancer_dx
4173963,277571004,B-cell acute lymphoblastic leukemia,cancer_dx
4082311,277473004,B-cell chronic lymphocytic leukemia,cancer_dx
4173824,277474005,B-cell chronic lymphocytic leukemia variant,cancer_dx
434592,109979007,B-cell lymphoma (clinical),cancer_dx
36684807,3.50951E+14,B-cell lymphoma of intra-abdominal lymph nodes,cancer_dx
36684809,3.51211E+14,B-cell lymphoma of lymph nodes of multiple sites,cancer_dx
36716774,722953004,B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma,cancer_dx
36716775,722954005,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer_dx
35610331,1.09192E+15,B-cell non-Hodgkin's lymphoma,cancer_dx
4173974,277619001,B-cell prolymphocytic leukemia,cancer_dx
37312023,788874003,B-cell prolymphocytic leukemia in remission,cancer_dx
4211481,413656006,Blastic phase chronic myeloid leukemia,cancer_dx
3654653,838346000,B lymphoblastic leukemia lymphoma with hyperdiploidy,cancer_dx
3654651,838344002,B lymphoblastic leukemia lymphoma with hypodiploidy,cancer_dx
3654650,838343008,B lymphoblastic leukemia lymphoma with t(1;19)(Q23;P13.3); E2A-PBX1 (TCF3/PBX1),cancer_dx
3654649,838342003,B lymphoblastic leukemia lymphoma with t(12;21) (p13;q22); TEL/AML1 (ETV6-RUNX1),cancer_dx
3654647,838340006,B lymphoblastic leukemia lymphoma with t(5;14)(q31;q32); IL3-IGH,cancer_dx
37109936,723889003,B lymphoblastic leukemia lymphoma with t(9:22) (q34;q11.2); BCR-ABL 1,cancer_dx
3654648,838341005,B lymphoblastic leukemia lymphoma with t(v;11q23); MLL rearranged,cancer_dx
37204681,783541009,Breast implant-associated anaplastic large-cell lymphoma,cancer_dx
4301663,404115006,Bullous mycosis fungoides,cancer_dx
37017595,713897006,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection,cancer_dx
4041800,118617000,Burkitt's lymphoma (clinical),cancer_dx
4097560,188512009,Burkitt's lymphoma of intra-abdominal lymph nodes,cancer_dx
193428,188515006,Burkitt's lymphoma of intrapelvic lymph nodes,cancer_dx
4091768,188511002,Burkitt's lymphoma of intrathoracic lymph nodes,cancer_dx
4097561,188513004,Burkitt's lymphoma of lymph nodes of axilla and upper limb,cancer_dx
196055,188514005,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,cancer_dx
315481,188517003,Burkitt's lymphoma of lymph nodes of multiple sites,cancer_dx
439293,188516007,Burkitt's lymphoma of spleen,cancer_dx
435758,92516002,Burkitt's tumor of extranodal AND/OR solid organ site,cancer_dx
433426,92511007,Burkitt's tumor of lymph nodes of axilla AND/OR upper limb,cancer_dx
437504,92512000,"Burkitt's tumor of lymph nodes of head, face AND/OR neck",cancer_dx
444442,92513005,Burkitt's tumor of lymph nodes of inguinal region AND/OR lower limb,cancer_dx
4312395,423987006,"Cancer of vulva, disseminated",cancer_dx
36680610,778066006,Carcinofibroma of corpus uteri,cancer_dx
4173800,275395000,Carcinoma anterior 2/3 tongue ventrum,cancer_dx
4117852,286896005,"Carcinoma breast - lower, outer quadrant",cancer_dx
