"concept_id","concept_name","concept_code","vocabulary_id"
2782286,"Change Cast on Left Lower Extremity","2W0MX2Z","ICD10PCS"
2782322,"Change Cast on Left Lower Leg","2W0RX2Z","ICD10PCS"
2782060,"Change Cast on Left Thumb","2W0HX2Z","ICD10PCS"
2782551,"Change Cast on Left Toe","2W0VX2Z","ICD10PCS"
2782006,"Change Cast on Left Upper Arm","2W0BX2Z","ICD10PCS"
2781802,"Change Cast on Left Upper Extremity","2W09X2Z","ICD10PCS"
2782304,"Change Cast on Left Upper Leg","2W0PX2Z","ICD10PCS"
2781739,"Change Cast on Neck","2W02X2Z","ICD10PCS"
2782069,"Change Cast on Right Finger","2W0JX2Z","ICD10PCS"
2782331,"Change Cast on Right Foot","2W0SX2Z","ICD10PCS"
2782033,"Change Cast on Right Hand","2W0EX2Z","ICD10PCS"
2781775,"Change Cast on Right Inguinal Region","2W06X2Z","ICD10PCS"
2782015,"Change Cast on Right Lower Arm","2W0CX2Z","ICD10PCS"
2782277,"Change Cast on Right Lower Extremity","2W0LX2Z","ICD10PCS"
2782313,"Change Cast on Right Lower Leg","2W0QX2Z","ICD10PCS"
2782051,"Change Cast on Right Thumb","2W0GX2Z","ICD10PCS"
2782542,"Change Cast on Right Toe","2W0UX2Z","ICD10PCS"
2781997,"Change Cast on Right Upper Arm","2W0AX2Z","ICD10PCS"
2781793,"Change Cast on Right Upper Extremity","2W08X2Z","ICD10PCS"
2782295,"Change Cast on Right Upper Leg","2W0NX2Z","ICD10PCS"
4107735,"Change of plaster cast","180290000","SNOMED"
4120151,"Change of splint","302618007","SNOMED"
3532658,"Change of splint NEC","560691000000104","SNOMED"
4107740,"Change of splint NEC","180311004","SNOMED"
4034383,"Change of traction splint","239663007","SNOMED"
2781747,"Change Splint on Abdominal Wall","2W03X1Z","ICD10PCS"
2781765,"Change Splint on Back","2W05X1Z","ICD10PCS"
2781756,"Change Splint on Chest Wall","2W04X1Z","ICD10PCS"
2785598,"Change Splint on Face","2W01X1Z","ICD10PCS"
2785589,"Change Splint on Head","2W00X1Z","ICD10PCS"
2782267,"Change Splint on Left Finger","2W0KX1Z","ICD10PCS"
2782532,"Change Splint on Left Foot","2W0TX1Z","ICD10PCS"
2782041,"Change Splint on Left Hand","2W0FX1Z","ICD10PCS"
2781783,"Change Splint on Left Inguinal Region","2W07X1Z","ICD10PCS"
2782023,"Change Splint on Left Lower Arm","2W0DX1Z","ICD10PCS"
2782285,"Change Splint on Left Lower Extremity","2W0MX1Z","ICD10PCS"
2782321,"Change Splint on Left Lower Leg","2W0RX1Z","ICD10PCS"
2782059,"Change Splint on Left Thumb","2W0HX1Z","ICD10PCS"
2782550,"Change Splint on Left Toe","2W0VX1Z","ICD10PCS"
2782005,"Change Splint on Left Upper Arm","2W0BX1Z","ICD10PCS"
2781801,"Change Splint on Left Upper Extremity","2W09X1Z","ICD10PCS"
2782303,"Change Splint on Left Upper Leg","2W0PX1Z","ICD10PCS"
2781738,"Change Splint on Neck","2W02X1Z","ICD10PCS"
2782068,"Change Splint on Right Finger","2W0JX1Z","ICD10PCS"
2782330,"Change Splint on Right Foot","2W0SX1Z","ICD10PCS"
2782032,"Change Splint on Right Hand","2W0EX1Z","ICD10PCS"
2781774,"Change Splint on Right Inguinal Region","2W06X1Z","ICD10PCS"
2782014,"Change Splint on Right Lower Arm","2W0CX1Z","ICD10PCS"
2782276,"Change Splint on Right Lower Extremity","2W0LX1Z","ICD10PCS"
2782312,"Change Splint on Right Lower Leg","2W0QX1Z","ICD10PCS"
2782050,"Change Splint on Right Thumb","2W0GX1Z","ICD10PCS"
2782541,"Change Splint on Right Toe","2W0UX1Z","ICD10PCS"
2781810,"Change Splint on Right Upper Arm","2W0AX1Z","ICD10PCS"
2781792,"Change Splint on Right Upper Extremity","2W08X1Z","ICD10PCS"
2782294,"Change Splint on Right Upper Leg","2W0NX1Z","ICD10PCS"
4036106,"Checking of splint","228604003","SNOMED"
4035600,"Conversion of non-weight-bearing plaster cast to weight-bearing plaster cast","239699002","SNOMED"
4083546,"Conversion of static cast brace to functional cast brace","239704005","SNOMED"
4298796,"Denis-Browne splint strapping","77180007","SNOMED"
2105916,"Denis-Browne splint strapping","29590","CPT4"
4039578,"Dynamic splinting","229550002","SNOMED"
4038879,"Fitting of splint","228602004","SNOMED"
4039576,"Foot strapping","229541004","SNOMED"
3538484,"Immobilisation by cast NOS","650281000000101","SNOMED"
3532570,"Immobilisation using plaster cast NOS","559231000000104","SNOMED"
3538485,"Immobilise by splinting NOS","650291000000104","SNOMED"
44790737,"Immobilise with extrication splint","241661000000101","SNOMED"
40311515,"Immobilization by cast NOS","150722005","SNOMED"
4125922,"Immobilization by cast NOS","288143007","SNOMED"
4119906,"Immobilization by splinting","287630006","SNOMED"
2783559,"Immobilization of Abdominal Wall using Cast","2W33X2Z","ICD10PCS"
2783558,"Immobilization of Abdominal Wall using Splint","2W33X1Z","ICD10PCS"
2783567,"Immobilization of Back using Cast","2W35X2Z","ICD10PCS"
2783566,"Immobilization of Back using Splint","2W35X1Z","ICD10PCS"
2783563,"Immobilization of Chest Wall using Cast","2W34X2Z","ICD10PCS"
2783562,"Immobilization of Chest Wall using Splint","2W34X1Z","ICD10PCS"
2782843,"Immobilization of Face using Cast","2W31X2Z","ICD10PCS"
2782842,"Immobilization of Face using Splint","2W31X1Z","ICD10PCS"
2782839,"Immobilization of Head using Cast","2W30X2Z","ICD10PCS"
2782838,"Immobilization of Head using Splint","2W30X1Z","ICD10PCS"
2783623,"Immobilization of Left Finger using Cast","2W3KX2Z","ICD10PCS"
2783622,"Immobilization of Left Finger using Splint","2W3KX1Z","ICD10PCS"
2783069,"Immobilization of Left Foot using Cast","2W3TX2Z","ICD10PCS"
2783068,"Immobilization of Left Foot using Splint","2W3TX1Z","ICD10PCS"
2783607,"Immobilization of Left Hand using Cast","2W3FX2Z","ICD10PCS"
2783606,"Immobilization of Left Hand using Splint","2W3FX1Z","ICD10PCS"
2783575,"Immobilization of Left Inguinal Region using Cast","2W37X2Z","ICD10PCS"
2783574,"Immobilization of Left Inguinal Region using Splint","2W37X1Z","ICD10PCS"
2783599,"Immobilization of Left Lower Arm using Cast","2W3DX2Z","ICD10PCS"
2783598,"Immobilization of Left Lower Arm using Splint","2W3DX1Z","ICD10PCS"
2783045,"Immobilization of Left Lower Extremity using Cast","2W3MX2Z","ICD10PCS"
2783044,"Immobilization of Left Lower Extremity using Splint","2W3MX1Z","ICD10PCS"
2783061,"Immobilization of Left Lower Leg using Cast","2W3RX2Z","ICD10PCS"
2783060,"Immobilization of Left Lower Leg using Splint","2W3RX1Z","ICD10PCS"
2783615,"Immobilization of Left Thumb using Cast","2W3HX2Z","ICD10PCS"
2783614,"Immobilization of Left Thumb using Splint","2W3HX1Z","ICD10PCS"
2783077,"Immobilization of Left Toe using Cast","2W3VX2Z","ICD10PCS"
2783076,"Immobilization of Left Toe using Splint","2W3VX1Z","ICD10PCS"
2783591,"Immobilization of Left Upper Arm using Cast","2W3BX2Z","ICD10PCS"
2783590,"Immobilization of Left Upper Arm using Splint","2W3BX1Z","ICD10PCS"
2783583,"Immobilization of Left Upper Extremity using Cast","2W39X2Z","ICD10PCS"
2783582,"Immobilization of Left Upper Extremity using Splint","2W39X1Z","ICD10PCS"
2783053,"Immobilization of Left Upper Leg using Cast","2W3PX2Z","ICD10PCS"
2783052,"Immobilization of Left Upper Leg using Splint","2W3PX1Z","ICD10PCS"
2782848,"Immobilization of Neck using Cast","2W32X2Z","ICD10PCS"
2782847,"Immobilization of Neck using Splint","2W32X1Z","ICD10PCS"
2783619,"Immobilization of Right Finger using Cast","2W3JX2Z","ICD10PCS"
2783618,"Immobilization of Right Finger using Splint","2W3JX1Z","ICD10PCS"
2783065,"Immobilization of Right Foot using Cast","2W3SX2Z","ICD10PCS"
2783064,"Immobilization of Right Foot using Splint","2W3SX1Z","ICD10PCS"
2783603,"Immobilization of Right Hand using Cast","2W3EX2Z","ICD10PCS"
2783602,"Immobilization of Right Hand using Splint","2W3EX1Z","ICD10PCS"
2783571,"Immobilization of Right Inguinal Region using Cast","2W36X2Z","ICD10PCS"
2783570,"Immobilization of Right Inguinal Region using Splint","2W36X1Z","ICD10PCS"
2783595,"Immobilization of Right Lower Arm using Cast","2W3CX2Z","ICD10PCS"
2783594,"Immobilization of Right Lower Arm using Splint","2W3CX1Z","ICD10PCS"
2783041,"Immobilization of Right Lower Extremity using Cast","2W3LX2Z","ICD10PCS"
2783040,"Immobilization of Right Lower Extremity using Splint","2W3LX1Z","ICD10PCS"
2783057,"Immobilization of Right Lower Leg using Cast","2W3QX2Z","ICD10PCS"
2783056,"Immobilization of Right Lower Leg using Splint","2W3QX1Z","ICD10PCS"
2783611,"Immobilization of Right Thumb using Cast","2W3GX2Z","ICD10PCS"
2783610,"Immobilization of Right Thumb using Splint","2W3GX1Z","ICD10PCS"
2783073,"Immobilization of Right Toe using Cast","2W3UX2Z","ICD10PCS"
2783072,"Immobilization of Right Toe using Splint","2W3UX1Z","ICD10PCS"
2783587,"Immobilization of Right Upper Arm using Cast","2W3AX2Z","ICD10PCS"
2783586,"Immobilization of Right Upper Arm using Splint","2W3AX1Z","ICD10PCS"
2783579,"Immobilization of Right Upper Extremity using Cast","2W38X2Z","ICD10PCS"
2783578,"Immobilization of Right Upper Extremity using Splint","2W38X1Z","ICD10PCS"
2783049,"Immobilization of Right Upper Leg using Cast","2W3NX2Z","ICD10PCS"
2783048,"Immobilization of Right Upper Leg using Splint","2W3NX1Z","ICD10PCS"
40311500,"Immobilization &/or support (& splinting)","150709002","SNOMED"
40377868,"Immobilization &/or support (& splinting)","182553009","SNOMED"
40376700,"Immobilization: [other] or [using other splint]","180309008","SNOMED"
45769193,"Immobilization using extrication splint","707794004","SNOMED"
4080245,"Immobilization using plaster cast","180288001","SNOMED"
4078745,"Immobilization using plaster cast NOS","180308000","SNOMED"
764122,"Immobilization using short extrication splint","451031000124108","SNOMED"
4121578,"Immobilize by splinting NOS","288145000","SNOMED"
40311522,"Immobilize by splinting NOS","150729001","SNOMED"
2103078,"Impression and custom preparation; oral surgical splint","21085","CPT4"
2721044,"Impression casting of a foot performed by a practitioner other than the manufacturer of the orthotic","S0395","HCPCS"
4048324,"Insertion of intranasal splints","232491007","SNOMED"
40663160,"INTENTIONAL REPLANTATION (INCLUDING NECESSARY SPLINTING)","D3470","HCPCS"
4035624,"Intentional replantation with splinting","15224009","SNOMED"
44788996,"Issue and review of casted orthoses","197071000000102","SNOMED"
4098812,"Lancaster screening","252879004","SNOMED"
4046701,"Lively splinting","229549002","SNOMED"
45888446,"Lower Extremity Application of Casts","1005573","CPT4"
45888844,"Lower Extremity Application of Casts and Strapping","1005572","CPT4"
45888447,"Lower Extremity Application of Splints","1005587","CPT4"
45889158,"Lower Extremity Application of Strapping-Any Age","1005590","CPT4"
4046700,"Lower limb strapping","229538008","SNOMED"
4039577,"Lumbar strapping","229545008","SNOMED"
4036585,"Making of splint","228600007","SNOMED"
40628316,"Manipulation and application of cast or splint","76109003","SNOMED"
4321228,"Manipulation of carpal region with application of splint","70947003","SNOMED"
4236991,"Manipulation of stifle joint ligament with splint","56711000","SNOMED"
4042693,"McConnell strapping","229540003","SNOMED"
4039579,"Night splinting","229552005","SNOMED"
4328505,"Orthotic splinting","75313008","SNOMED"
45889159,"Other Casting or Strapping Procedures","1018234","CPT4"
3573018,"Other specified immobilisation using plaster cast","559221000000101","SNOMED"
4108849,"Other specified immobilization using plaster cast","180307005","SNOMED"
4042692,"Patella strapping","229539000","SNOMED"
2833344,"Placement @ Anatomical Regions @ Change @ Abdominal Wall @ External @ Cast","2W03X2","ICD10PCS"
