"concept_id","concept_name","concept_code","vocabulary_id","category"
43166796,"valsartan Delayed Release Oral Tablet [VALSARTAN ARROW LAB]","OMOP506238","RxNorm Extension","raas"
40956883,"Hydrochlorothiazide / Losartan Delayed Release Oral Tablet [Lorzaar Varipharm Plus]","OMOP2154845","RxNorm Extension","raas"
43284317,"Perindopril 8 MG Oral Tablet [Indopril] Box of 30","OMOP544610","RxNorm Extension","raas"
1342439,"trandolapril","38454","RxNorm","raas"
41137557,"Captopril 12.5 MG Oral Tablet [Captopril Atid] Box of 100 by Dexcel-Pharma","OMOP2335519","RxNorm Extension","raas"
2064584,"amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 40 MG [TRIFLOW]","OMOP4965874","RxNorm Extension","raas"
43199820,"valsartan 80 MG [VALSARTAN ZENTIVA]","OMOP506627","RxNorm Extension","raas"
40996886,"Ramipril 7.5 MG Oral Tablet [Ramipril 1a Pharma] Box of 20","OMOP2194848","RxNorm Extension","raas"
21031181,"Enalapril 20 MG Oral Tablet [Innovace] Box of 28 by Mawdsley-Brooks","OMOP290648","RxNorm Extension","raas"
21031424,"Perindopril 5 MG Oral Tablet Box of 30 by Sigma-Tau","OMOP331769","RxNorm Extension","raas"
2062859,"amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan 20 MG Oral Tablet [OLMECFORCE H]","OMOP4964112","RxNorm Extension","raas"
41101946,"Ramipril 5 MG Oral Tablet [TRIATEC] Box of 20 by Eurim-Pharm","OMOP2299908","RxNorm Extension","raas"
43272585,"Lisinopril 20 MG Oral Tablet [Zinopril] Box of 30","OMOP536883","RxNorm Extension","raas"
21050866,"Enalapril 2.5 MG Oral Tablet by Mylan","OMOP291978","RxNorm Extension","raas"
2065041,"telmisartan 40 MG Oral Tablet [TELMICOL]","OMOP4966356","RxNorm Extension","raas"
35760615,"Hydrochlorothiazide 12.5 MG / valsartan 160 MG Delayed Release Oral Tablet [Co-Diovan] Box of 28 by Novartis","OMOP2762076","RxNorm Extension","raas"
41204766,"Captopril 50 MG [Tensiomin]","OMOP2402728","RxNorm Extension","raas"
43168124,"Captopril 25 MG Oral Tablet [LOPRIL] Box of 30","OMOP449462","RxNorm Extension","raas"
21092731,"telmisartan 40 MG Oral Tablet by A A H","OMOP381757","RxNorm Extension","raas"
2063009,"amlodipine 5 MG / olmesartan 40 MG [OLMESAPIN]","OMOP4964261","RxNorm Extension","raas"
40728965,"Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [MicardisPlus] by Sigma","OMOP4728736","RxNorm Extension","raas"
21102127,"trandolapril 1 MG Oral Capsule by DE","OMOP372878","RxNorm Extension","raas"
2012497,"hydrochlorothiazide 25 MG / losartan 91.6 MG Oral Tablet [LOSITENPLUS-F]","OMOP4960395","RxNorm Extension","raas"
40987404,"Ramipril Oral Tablet [Unipril]","OMOP2185366","RxNorm Extension","raas"
42950845,"Hydrochlorothiazide / Losartan Oral Tablet [LOSARTAN CJ PLUS PRO]","OMOP4677418","RxNorm Extension","raas"
36248705,"Prestalia Oral Product","1600720","RxNorm","raas"
36784032,"Perindopril 10 MG Oral Tablet [Coversyl] Box of 90 by PI-Pharma","OMOP4772317","RxNorm Extension","raas"
42930452,"Amlodipine / telmisartan Oral Tablet [TWINHIT]","OMOP4657216","RxNorm Extension","raas"
40854627,"Hydrochlorothiazide 25 MG / olmesartan 20 MG Oral Tablet [Votum] Box of 280 by Berlin-Chemie","OMOP2052589","RxNorm Extension","raas"
36784128,"Hydrochlorothiazide 12.5 MG / valsartan 160 MG Delayed Release Oral Tablet [Co-Valsartan EG] Box of 28","OMOP4772412","RxNorm Extension","raas"
40916857,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Delayed Release Oral Tablet [Losartan Eumann H2u] Box of 98 by Heunet","OMOP2114819","RxNorm Extension","raas"
42930407,"Amlodipine / telmisartan Oral Tablet [TEMISTA]","OMOP4657172","RxNorm Extension","raas"
41293091,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet Box of 100 by Novartis","OMOP2491053","RxNorm Extension","raas"
21072793,"Ramipril 2.5 MG Oral Tablet by APC","OMOP373272","RxNorm Extension","raas"
44049480,"Ramipril 1.25 MG Oral Capsule [Van-Ramipril] by Vanc","OMOP1044111","RxNorm Extension","raas"
44050439,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [VALSARTAN MYLAN] by Mylan","OMOP1045070","RxNorm Extension","raas"
2064135,"hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet by Ilyang","OMOP4965430","RxNorm Extension","raas"
40171666,"benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT]","898371","RxNorm","raas"
43261293,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Irbesartan Hct]","OMOP533824","RxNorm Extension","raas"
21083267,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet [Co-zidocapt] Box of 30 by Sandoz","OMOP386873","RxNorm Extension","raas"
42876226,"Amlodipine 5 MG / candesartan 16 MG Oral Tablet Box of 28","OMOP4873338","RxNorm Extension","raas"
41069404,"valsartan 80 MG Delayed Release Oral Tablet [Diovan] Box of 98 by Orifarm Leverkus","OMOP2267366","RxNorm Extension","raas"
21116037,"Losartan 12.5 MG Oral Tablet Box of 28 by Phoenix Labs","OMOP282702","RxNorm Extension","raas"
40943793,"Amlodipine 13.9 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Dafiro] Box of 98","OMOP2141755","RxNorm Extension","raas"
41138199,"Amlodipine 3.47 MG / Perindopril 3.5 MG Oral Tablet [Viacoram] Box of 30 by Servier","OMOP2336161","RxNorm Extension","raas"
43167900,"Hydrochlorothiazide 25 MG / telmisartan 80 MG [TELMISARTAN/HYDROCHLOROTHIAZIDE E]","OMOP447417","RxNorm Extension","raas"
36265360,"Losartan 50 MG Delayed Release Oral Tablet [LOSARTAN MYLAN] Box of 98","OMOP3116235","RxNorm Extension","raas"
41135459,"irbesartan 150 MG Oral Tablet [Irbesartan Hennig] Box of 56 by Hennig","OMOP2333421","RxNorm Extension","raas"
41250963,"Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet [Ramipril Sk] Box of 30","OMOP2448925","RxNorm Extension","raas"
36260369,"Hydrochlorothiazide 12.5 MG / olmesartan 40 MG Delayed Release Oral Tablet [Co-Olmesartan Sandoz]","OMOP3111244","RxNorm Extension","raas"
21109209,"Fosinopril 20 MG Oral Tablet Box of 28 by Alliance","OMOP348717","RxNorm Extension","raas"
44111229,"telmisartan 40 MG Oral Tablet [Van-Telmisartan]","OMOP1105860","RxNorm Extension","raas"
42950987,"Losartan 50 MG Oral Tablet [LOZATO]","OMOP4677562","RxNorm Extension","raas"
44163774,"Hydrochlorothiazide 12.5 MG / Losartan 100 MG Delayed Release Oral Tablet [Losartan Hct Dexcel] Box of 56 by Dexcel-Pharma","OMOP3040497","RxNorm Extension","raas"
40806038,"Enalaprilx","OMOP2004000","RxNorm Extension","raas"
41293169,"candesartan 32 MG Oral Tablet Box of 98 by AAA-Pharma","OMOP2491131","RxNorm Extension","raas"
35743883,"irbesartan 75 MG Delayed Release Oral Tablet by Necessity Supplies","OMOP2745344","RxNorm Extension","raas"
21114487,"eprosartan 600 MG Oral Tablet by Creo","OMOP254079","RxNorm Extension","raas"
43155973,"Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Delayed Release Oral Tablet","OMOP514307","RxNorm Extension","raas"
41002622,"Enalapril 5 MG Oral Tablet [Enalapril Ratiopharm] Box of 100","OMOP2200584","RxNorm Extension","raas"
21082452,"Ramipril 1.25 MG Oral Tablet by Generics","OMOP373399","RxNorm Extension","raas"
41090755,"quinapril 5 MG Delayed Release Oral Tablet [Quinapril Heumann]","OMOP2288717","RxNorm Extension","raas"
36272542,"Bisoprolol 10 MG / Perindopril 5 MG Oral Tablet Box of 30","OMOP3123417","RxNorm Extension","raas"
35136345,"Lisinopril Oral Tablet [Longes]","OMOP4793524","RxNorm Extension","raas"
42955713,"olmesartan 10 MG Oral Tablet [CELLMETEC]","OMOP4682252","RxNorm Extension","raas"
41072198,"Lisinopril 10 MG Oral Tablet [LISINOPRIL RATIOPHARM] Box of 100 by Orifarm Leverkus","OMOP2270160","RxNorm Extension","raas"
21083238,"Captopril 50 MG Oral Capsule by Special Order","OMOP386386","RxNorm Extension","raas"
40846811,"Enalapril 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Enalapril Plus 1a Pharma] Box of 30","OMOP2044773","RxNorm Extension","raas"
41292098,"Enalapril 2.5 MG Oral Tablet [Enalapril Klast] Box of 50 by Linden","OMOP2490060","RxNorm Extension","raas"
42960036,"fimasartan potassium 60 MG Oral Tablet [KANARB]","OMOP4686542","RxNorm Extension","raas"
2035527,"hydrochlorothiazide 12.5 MG / olmesartan 20 MG Oral Tablet [OLMERTAN PLUS]","OMOP4934679","RxNorm Extension","raas"
40928210,"olmesartan 20 MG Oral Tablet Box of 56","OMOP2126172","RxNorm Extension","raas"
40154695,"hydrochlorothiazide / valsartan Oral Tablet [Diovan HCT]","809029","RxNorm","raas"
41059152,"Ramipril 5 MG Oral Tablet [TRIATEC] Box of 98","OMOP2257114","RxNorm Extension","raas"
19117554,"captopril 12.5 MG [Acepril]","565836","RxNorm","raas"
40948900,"Enalapril 5 MG Oral Tablet [Ena Lichtenstein] Box of 50 by Sanofi","OMOP2146862","RxNorm Extension","raas"
41219945,"Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramyro]","OMOP2417907","RxNorm Extension","raas"
43856957,"Ramipril Oral Capsule [Sincronium]","OMOP670499","RxNorm Extension","raas"
43033307,"Ramipril 10 MG Oral Tablet Box of 90 by Evolupharm","OMOP4848356","RxNorm Extension","raas"
41168754,"Captopril 25 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Acenorm] Box of 50 by Azupharma","OMOP2366716","RxNorm Extension","raas"
40938714,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Telmisartan Hexal] Box of 56","OMOP2136676","RxNorm Extension","raas"
40912859,"aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet [RASILEZ HCT] Box of 98","OMOP2110821","RxNorm Extension","raas"
41157616,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [COTAREG]","OMOP2355578","RxNorm Extension","raas"
43696066,"Cilazapril Oral Tablet [Dynorm 2,5]","OMOP690833","RxNorm Extension","raas"
41324446,"Captopril 12.5 MG Oral Tablet [Captopril Heumann] Box of 100 by Heumann","OMOP2522408","RxNorm Extension","raas"
36271746,"valsartan 80 MG [Bespres]","OMOP3122621","RxNorm Extension","raas"
36262925,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Plus EG] Box of 56","OMOP3113800","RxNorm Extension","raas"
41229155,"irbesartan 300 MG Oral Tablet [Irbesartan Hexal] Box of 28 by Novartis","OMOP2427117","RxNorm Extension","raas"
21131376,"trandolapril 1 MG Oral Capsule [Gopten] Box of 28 by Abbott","OMOP372905","RxNorm Extension","raas"
43260472,"candesartan 16 MG Oral Tablet by Chemmart","OMOP571218","RxNorm Extension","raas"
41121895,"Ramipril 5 MG Extended Release Oral Tablet [Ramipril Al] Box of 50","OMOP2319857","RxNorm Extension","raas"
21045148,"Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet by A A H","OMOP407995","RxNorm Extension","raas"
43158390,"irbesartan 75 MG Delayed Release Oral Tablet [IRBESARTAN ISOMED] Box of 30 by TEVA","OMOP459909","RxNorm Extension","raas"
40880099,"Captopril 12.5 MG Oral Tablet [Captoreal] Box of 50","OMOP2078061","RxNorm Extension","raas"
40884295,"olmesartan 20 MG Delayed Release Oral Tablet [Olmetec] Box of 56 by Cc","OMOP2082257","RxNorm Extension","raas"
21141454,"irbesartan 300 MG Oral Tablet [Sabervel]","OMOP374719","RxNorm Extension","raas"
43144739,"Hydrochlorothiazide / valsartan Delayed Release Oral Tablet [VALSARTAN/HYDROCHLOROTHIAZIDE MYLAN]","OMOP510525","RxNorm Extension","raas"
41098586,"candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candesartan Hormosan]","OMOP2296548","RxNorm Extension","raas"
2035599,"hydrochlorothiazide / olmesartan Oral Tablet [OLSAN PLUS]","OMOP4934750","RxNorm Extension","raas"
43642365,"candesartan 8 MG Oral Tablet [Candecor] by TAD","OMOP695283","RxNorm Extension","raas"
43160355,"Losartan 100 MG Delayed Release Oral Tablet [LOSARTAN ZENTIVA] Box of 90","OMOP477282","RxNorm Extension","raas"
