"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
42938392,"Hydrochlorothiazide 12.5 MG / telmisartan 80 MG [MICARTAN PLUS]","OMOP4665068","RxNorm Extension","RX","arb","telmisartan"
21070011,"candesartan 8 MG Oral Tablet by DE","OMOP349539","RxNorm Extension","RX","arb","candesartan"
40947510,"Losartan 100 MG Delayed Release Oral Tablet [Losartan Kalium Axcount] Box of 98 by Axcount Generika","OMOP2145472","RxNorm Extension","RX","arb","losartan"
41281792,"Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Micardis Plus Ac] Box of 98","OMOP2479754","RxNorm Extension","RX","arb","telmisartan"
36274157,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Delayed Release Oral Tablet [CoAprovel] Box of 98 by Sanofi","OMOP3125032","RxNorm Extension","RX","arb","irbesartan"
43600021,"Hydrochlorothiazide 25 MG / valsartan 320 MG [Valsartan - 1 A Pharma Plus]","OMOP793985","RxNorm Extension","RX","arb","valsartan"
41281745,"Hydrochlorothiazide 12.5 MG / valsartan 120 MG Oral Tablet [VALSARTAN RATIOPHARM] Box of 28","OMOP2479707","RxNorm Extension","RX","arb","valsartan"
2061338,"candesartan 16 MG Oral Tablet [NEOCANDE]","OMOP4962531","RxNorm Extension","RX","arb","candesartan"
35887893,"hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet by Sigma","OMOP5035402","RxNorm Extension","RX","arb","valsartan"
36271172,"valsartan 320 MG Oral Tablet [VALSARTAN KRKA] Box of 98 by KRKA","OMOP3122047","RxNorm Extension","RX","arb","valsartan"
45365833,"Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet [Hyzaar 100/25]","68115086530","NDC","ND","arb","losartan"
42827989,"candesartan cilexetil 32 MG Oral Tablet","68382019305","NDC","ND","arb","candesartan"
21135619,"Losartan 50 MG Oral Tablet by Sandoz","OMOP282591","RxNorm Extension","RX","arb","losartan"
41075340,"Amlodipine 13.9 MG / Hydrochlorothiazide 25 MG / olmesartan 40 MG Oral Tablet [Sevikar] Box of 98 by Eurim-Pharm","OMOP2273302","RxNorm Extension","RX","arb","olmesartan"
40849025,"candesartan 4 MG Oral Tablet [Candesartan Puren] Box of 98","OMOP2046987","RxNorm Extension","RX","arb","candesartan"
43033538,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [NISISCO] Box of 30 by Novartis","OMOP4848585","RxNorm Extension","RX","arb","valsartan"
41192545,"candesartan 32 MG / Hydrochlorothiazide 25 MG Oral Tablet [Candesartan Plus 1a Pharma] Box of 28","OMOP2390507","RxNorm Extension","RX","arb","candesartan"
43822135,"valsartan 80 MG [Valsartan-Ct]","OMOP693541","RxNorm Extension","RX","arb","valsartan"
40913459,"valsartan 80 MG Oral Tablet [Valsartan Basics] Box of 98 by Basics","OMOP2111421","RxNorm Extension","RX","arb","valsartan"
2062840,"amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan 20 MG Oral Tablet [AMOLVIKA HCT] by Hutecs","OMOP4964093","RxNorm Extension","RX","arb","olmesartan"
42955842,"olmesartan 20 MG [OLETEN]","OMOP4682383","RxNorm Extension","RX","arb","olmesartan"
42955484,"Amlodipine 5 MG / olmesartan 20 MG [CELLEVICA]","OMOP4682023","RxNorm Extension","RX","arb","olmesartan"
43145750,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG [TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA]","OMOP447496","RxNorm Extension","RX","arb","telmisartan"
46255775,"amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet","49884017309","NDC","ND","arb","valsartan"
