concept_id,concept_code,concept_name,vocabulary_id
45567887,O10.93,Unspecified pre-existing hypertension complicating the puerperium,ICD10CM
44834715,401.1,Benign essential hypertension,ICD9CM
44831376,642,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium",ICD9CM
44824390,642.03,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9CM
44827929,642.02,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",ICD9CM
44823229,642.01,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition",ICD9CM
44830210,642.04,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication",ICD9CM
44824389,642,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable",ICD9CM
44830076,402.1,Benign hypertensive heart disease,ICD9CM
44823110,402.11,Benign hypertensive heart disease with heart failure,ICD9CM
44828970,402.1,Benign hypertensive heart disease without heart failure,ICD9CM
44832371,405.11,Benign renovascular hypertension,ICD9CM
44831235,405.1,Benign secondary hypertension,ICD9CM
44826570,360.42,Blind hypertensive eye,ICD9CM
44830637,997.91,"Complications affecting other specified body systems, not elsewhere classified, hypertension",ICD9CM
44833556,401,Essential hypertension,ICD9CM
44833713,642,"Hypertension complicating pregnancy, childbirth, and the puerperium",ICD9CM
44824391,642.1,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium",ICD9CM
44819850,642.13,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9CM
44824392,642.12,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",ICD9CM
44827930,642.11,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition",ICD9CM
44833714,642.14,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication",ICD9CM
44819849,642.1,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable",ICD9CM
44832367,403,Hypertensive chronic kidney disease,ICD9CM
44835922,403.1,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44831231,403.11,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease",ICD9CM
44833558,403,"Hypertensive chronic kidney disease, malignant",ICD9CM
44832368,403,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44825426,403.01,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",ICD9CM
44835923,403.9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
